[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.055073, pitch: -0.104893, roll: -0.025948, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.055073
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054882, pitch: -0.104528, roll: -0.025858, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054882
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054683, pitch: -0.104150, roll: -0.025764, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054683
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054477, pitch: -0.103757, roll: -0.025667, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054477
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054263, pitch: -0.103350, roll: -0.025567, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054263
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054042, pitch: -0.102929, roll: -0.025462, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054042
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.053813, pitch: -0.102493, roll: -0.025355, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.053813
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.053577, pitch: -0.102043, roll: -0.025243, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.053577
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.053334, pitch: -0.101579, roll: -0.025128, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.053334
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.053082, pitch: -0.101100, roll: -0.025010, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.053082
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.052824, pitch: -0.100608, roll: -0.024888, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.052824
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.052557, pitch: -0.100101, roll: -0.024763, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.052557
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.052284, pitch: -0.099579, roll: -0.024634, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.052284
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.052002, pitch: -0.099044, roll: -0.024501, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.052002
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.051714, pitch: -0.098494, roll: -0.024365, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.051714
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.051417, pitch: -0.097929, roll: -0.024226, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.051417
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.051114, pitch: -0.097351, roll: -0.024083, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.051114
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.050802, pitch: -0.096758, roll: -0.023936, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.050802
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.050484, pitch: -0.096151, roll: -0.023786, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.050484
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.050158, pitch: -0.095530, roll: -0.023632, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.050158
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.049824, pitch: -0.094894, roll: -0.023475, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.049824
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.049483, pitch: -0.094244, roll: -0.023314, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.049483
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.049134, pitch: -0.093580, roll: -0.023150, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.049134
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.048778, pitch: -0.092902, roll: -0.022982, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.048778
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.048414, pitch: -0.092209, roll: -0.022811, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.048414
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.048043, pitch: -0.091502, roll: -0.022636, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.048043
